TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202201020000,156.0,30.0,156,0,0.2,-9,-9.0,-9,1019.3,1028.3,0,0.3,-0.4,-7.8,57.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,43,Ac,0,3,0,1972,-9.0,-9.0,-9,-0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020100,156.0,22.0,156,0,0.4,-9,-9.0,-9,1019.1,1028.1,-9,-9.0,-0.8,-7.8,59.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,42,-,-9,-9,-9,1904,-9.0,-9.0,-9,-0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201020200,156.0,24.0,156,0,0.3,-9,-9.0,-9,1019.0,1028.0,-9,-9.0,-1.5,-7.6,63.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1956,-9.0,-9.0,-9,-0.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201020300,156.0,37.0,156,0,0.0,-9,-9.0,-9,1019.2,1028.2,5,-0.1,-2.3,-7.6,67.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1860,-9.0,-9.0,-9,-1.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201020400,156.0,32.0,156,0,0.0,-9,-9.0,-9,1018.6,1027.6,-9,-9.0,-2.6,-7.3,70.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1898,-9.0,-9.0,-9,-1.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201020500,156.0,28.0,156,0,0.4,-9,-9.0,-9,1017.7,1026.7,-9,-9.0,-2.2,-7.9,65.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1992,-9.0,-9.0,-9,-1.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201020600,156.0,25.0,156,0,0.4,-9,-9.0,-9,1017.8,1026.9,5,-1.3,-3.1,-7.4,72.0,3.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1918,-9.0,-9.0,-9,-1.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201020700,156.0,34.0,156,0,0.1,-9,-9.0,-9,1018.5,1027.6,-9,-9.0,-3.2,-7.7,71.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,17,Sc,0,0,5,1956,-9.0,-9.0,-9,-1.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020800,156.0,30.0,156,0,0.2,-9,-9.0,-9,1018.7,1027.7,-9,-9.0,-2.5,-7.2,70.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,12,Sc,0,0,5,1965,0.0,0.06,-9,-1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020900,156.0,25.0,156,0,0.2,-9,-9.0,-9,1019.1,1028.1,2,1.2,-1.6,-6.1,71.0,3.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,12,Sc,0,0,5,1818,0.1,0.25,-9,-0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021000,156.0,31.0,156,27,0.8,-9,-9.0,-9,1019.6,1028.6,-9,-9.0,-0.3,-6.5,63.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,12,Sc,0,0,5,1827,0.3,0.5,-9,-0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021100,156.0,31.0,156,27,0.5,-9,-9.0,-9,1019.7,1028.6,-9,-9.0,1.0,-6.5,57.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,9,Sc,0,0,5,1895,0.4,0.99,-9,0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021200,156.0,38.0,156,0,0.4,-9,-9.0,-9,1019.2,1028.1,4,0.0,2.2,-7.1,50.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,7,Sc,0,0,5,1742,0.1,0.76,-9,0.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021300,156.0,44.0,156,0,0.3,-9,-9.0,-9,1018.4,1027.2,-9,-9.0,4.3,-6.3,46.0,3.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,11,Sc,0,0,5,1943,0.5,1.36,-9,2.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021400,156.0,43.0,156,29,0.9,-9,-9.0,-9,1017.8,1026.6,-9,-9.0,5.7,-1.9,58.0,5.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,8,Sc,0,0,5,1579,0.3,1.06,-9,4.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201021500,156.0,68.0,156,2,1.2,-9,-9.0,-9,1017.7,1026.4,7,-1.7,6.5,0.1,64.0,6.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,11,40,6,6,8,Sc,0,0,5,681,0.3,0.9,-9,6.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202201021600,156.0,71.0,156,2,2.3,-9,-9.0,-9,1017.6,1026.3,-9,-9.0,5.9,-1.9,57.0,5.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,2,2,9,Sc,0,0,5,685,1.0,1.03,-9,5.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202201021700,156.0,80.0,156,2,1.2,-9,-9.0,-9,1017.8,1026.6,-9,-9.0,4.7,-3.3,56.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,648,1.0,0.43,-9,3.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202201021800,156.0,67.0,156,5,1.0,-9,-9.0,-9,1018.3,1027.1,3,0.7,3.5,-3.1,62.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5,0,40,0,0,-9,-,-9,-9,-9,786,0.0,0.09,-9,1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,1
202201021900,156.0,46.0,156,2,0.5,-9,-9.0,-9,1018.7,1027.6,-9,-9.0,1.8,-3.0,70.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,841,-9.0,-9.0,-9,0.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201022000,156.0,47.0,156,2,1.1,-9,-9.0,-9,1018.9,1027.8,-9,-9.0,2.1,-3.0,69.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,40,0,0,-9,-,-9,-9,-9,1214,-9.0,-9.0,-9,0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201022100,156.0,25.0,156,5,1.1,-9,-9.0,-9,1019.0,1027.9,2,0.8,0.9,-3.4,73.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1044,-9.0,-9.0,-9,0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201022200,156.0,43.0,156,7,1.3,-9,-9.0,-9,1019.1,1028.1,-9,-9.0,0.1,-3.9,74.0,4.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1307,-9.0,-9.0,-9,-0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201022300,156.0,10.0,156,0,0.1,-9,-9.0,-9,1019.2,1028.2,-9,-9.0,-0.2,-5.0,70.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1936,-9.0,-9.0,-9,-0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201030000,156.0,29.0,156,0,0.0,-9,-9.0,-9,1019.2,1028.2,1,0.3,-0.7,-4.0,78.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1336,-9.0,-9.0,-9,-0.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201030100,156.0,28.0,156,5,1.5,-9,-9.0,-9,1018.6,1027.6,-9,-9.0,-1.9,-4.2,84.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1439,-9.0,-9.0,-9,-1.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201030200,156.0,24.0,156,0,0.4,-9,-9.0,-9,1018.4,1027.4,-9,-9.0,-1.8,-5.3,77.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,0,-9,-,-9,-9,-9,1957,-9.0,-9.0,-9,-1.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201030300,156.0,19.0,156,32,1.1,-9,-9.0,-9,1018.8,1027.9,5,-0.3,-2.9,-4.7,87.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1301,-9.0,-9.0,-9,-1.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201030400,156.0,25.0,156,0,0.2,-9,-9.0,-9,1018.2,1027.3,-9,-9.0,-3.2,-4.7,89.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1278,-9.0,-9.0,-9,-2.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030500,156.0,40.0,156,0,0.0,-9,-9.0,-9,1018.6,1027.7,-9,-9.0,-3.7,-5.4,88.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,0,-9,Ci,1,0,0,1326,-9.0,-9.0,-9,-2.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030600,156.0,28.0,156,0,0.0,-9,-9.0,-9,1019.0,1028.1,3,0.2,-3.9,-5.1,91.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,0,-9,Ci,1,0,0,1220,-9.0,-9.0,-9,-2.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030700,156.0,18.0,156,0,0.1,-9,-9.0,-9,1018.8,1027.9,-9,-9.0,-3.8,-5.0,91.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,0,-9,Ci,1,0,0,1669,-9.0,-9.0,-9,-3.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201030800,156.0,21.0,156,0,0.3,-9,-9.0,-9,1018.9,1028.0,-9,-9.0,-4.2,-5.7,89.0,4.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1817,0.0,0.07,-9,-3.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201030900,156.0,29.0,156,25,1.0,-9,-9.0,-9,1019.2,1028.3,3,0.2,-3.3,-5.3,86.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1275,0.8,0.6,-9,-2.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031000,156.0,48.0,156,25,0.8,-9,-9.0,-9,1019.4,1028.4,-9,-9.0,-1.3,-4.9,76.0,4.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1648,1.0,1.38,-9,-1.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031100,156.0,49.0,156,23,0.6,-9,-9.0,-9,1019.4,1028.3,-9,-9.0,1.0,-5.6,61.0,4.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,0,-9,Ci,1,0,0,1906,1.0,1.79,-9,-0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201031200,156.0,36.0,156,23,1.1,-9,-9.0,-9,1018.3,1027.1,8,-1.2,3.2,-5.9,51.0,3.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1840,1.0,1.99,-9,0.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031300,156.0,32.0,156,23,1.7,-9,-9.0,-9,1017.2,1026.0,-9,-9.0,5.4,-5.3,46.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1978,1.0,2.11,-9,2.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031400,156.0,26.0,156,2,0.9,-9,-9.0,-9,1016.2,1024.9,-9,-9.0,6.2,-7.0,38.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1966,1.0,1.94,-9,4.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031500,156.0,24.0,156,36,1.2,-9,-9.0,-9,1015.8,1024.5,7,-2.6,6.3,-5.3,43.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.61,-9,5.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031600,156.0,25.0,156,34,1.2,-9,-9.0,-9,1015.9,1024.6,-9,-9.0,5.9,-5.4,44.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.1,-9,4.8,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031700,156.0,18.0,156,36,1.0,-9,-9.0,-9,1016.3,1025.1,-9,-9.0,4.9,-5.4,47.0,4.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,0.5,-9,2.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031800,156.0,15.0,156,5,1.8,-9,-9.0,-9,1017.1,1025.9,2,1.4,3.3,-4.6,56.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.1,0.09,-9,1.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201031900,156.0,6.0,156,5,1.4,-9,-9.0,-9,1017.3,1026.2,-9,-9.0,2.0,-4.5,62.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201032000,156.0,10.0,156,9,1.0,-9,-9.0,-9,1017.4,1026.3,-9,-9.0,1.2,-4.8,64.0,4.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201032100,156.0,26.0,156,0,0.2,-9,-9.0,-9,1017.5,1026.4,2,0.5,1.1,-4.3,67.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201032200,156.0,17.0,156,0,0.4,-9,-9.0,-9,1017.7,1026.6,-9,-9.0,0.7,-4.3,69.0,4.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1915,-9.0,-9.0,-9,-0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201032300,156.0,25.0,156,0,0.1,-9,-9.0,-9,1017.7,1026.6,-9,-9.0,0.3,-3.6,75.0,4.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1904,-9.0,-9.0,-9,-0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201040000,156.0,18.0,156,25,0.6,-9,-9.0,-9,1017.4,1026.3,8,-0.1,-0.3,-3.5,79.0,4.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1844,-9.0,-9.0,-9,-0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201040100,156.0,28.0,156,27,1.2,-9,-9.0,-9,1017.3,1026.3,-9,-9.0,-1.0,-3.2,85.0,4.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1495,-9.0,-9.0,-9,-0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201040200,156.0,34.0,156,23,1.3,-9,-9.0,-9,1017.7,1026.7,-9,-9.0,-1.0,-3.0,86.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1461,-9.0,-9.0,-9,-0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201040300,156.0,17.0,156,0,0.0,-9,-9.0,-9,1017.9,1026.9,2,0.6,-0.4,-2.9,83.0,4.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,12,Sc,0,0,5,1674,-9.0,-9.0,-9,-0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201040400,156.0,29.0,156,0,0.1,-9,-9.0,-9,1018.2,1027.2,-9,-9.0,0.0,-2.7,82.0,5.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,8,Sc,0,0,5,1575,-9.0,-9.0,-9,-0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201040500,156.0,38.0,156,0,0.1,-9,-9.0,-9,1018.0,1027.0,-9,-9.0,0.1,-2.4,83.0,5.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,15,Sc,0,0,5,1659,-9.0,-9.0,-9,-0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201040600,156.0,24.0,156,0,0.1,-9,-9.0,-9,1017.9,1026.8,8,-0.1,0.5,-2.5,80.0,5.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,15,Sc,0,0,5,1803,-9.0,-9.0,-9,-0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201040700,156.0,25.0,156,2,0.9,-9,-9.0,-9,1018.6,1027.6,-9,-9.0,0.1,-2.4,83.0,5.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,8,Sc,0,0,5,1663,-9.0,-9.0,-9,-0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201040800,156.0,29.0,156,0,0.0,-9,-9.0,-9,1018.9,1027.9,-9,-9.0,-0.5,-2.5,86.0,5.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1554,0.0,0.07,-9,-0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201040900,156.0,34.0,156,5,1.1,-9,-9.0,-9,1019.6,1028.5,2,1.7,0.7,-2.0,82.0,5.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1216,0.3,0.32,-9,-0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201041000,156.0,41.0,156,0,0.3,-9,-9.0,-9,1020.0,1028.8,-9,-9.0,3.2,-1.9,69.0,5.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1119,1.0,0.85,-9,-0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201041100,156.0,57.0,156,5,1.0,-9,-9.0,-9,1020.0,1028.8,-9,-9.0,4.2,-4.0,55.0,4.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1290,1.0,1.41,-9,0.3,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201041200,156.0,42.0,156,7,3.1,-9,-9.0,-9,1018.9,1027.7,8,-0.8,5.5,-7.0,40.0,3.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1997,1.0,1.89,-9,2.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201041300,156.0,30.0,156,2,1.3,-9,-9.0,-9,1018.4,1027.1,-9,-9.0,6.1,-13.5,23.0,2.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,2.11,-9,5.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201041400,156.0,35.0,156,32,2.0,-9,-9.0,-9,1018.1,1026.8,-9,-9.0,6.3,-16.3,18.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,2.07,-9,7.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201041500,156.0,8.0,156,34,1.2,-9,-9.0,-9,1018.1,1026.8,6,-0.9,6.6,-14.8,20.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.73,-9,8.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201041600,156.0,15.0,156,34,1.3,-9,-9.0,-9,1018.1,1026.8,-9,-9.0,6.0,-17.9,16.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,0,-9,Ci,1,0,0,2000,1.0,1.2,-9,6.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201041700,156.0,0.0,156,2,1.6,-9,-9.0,-9,1017.9,1026.7,-9,-9.0,4.9,-15.6,21.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,0,-9,Ci,1,0,0,2000,1.0,0.59,-9,3.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201041800,156.0,6.0,156,5,2.4,-9,-9.0,-9,1018.2,1027.0,3,0.2,3.0,-11.7,33.0,2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,1,15,ScAc,0,3,5,2000,0.2,0.1,-9,1.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201041900,156.0,1.0,156,5,1.4,-9,-9.0,-9,1018.8,1027.7,-9,-9.0,1.8,-8.6,46.0,3.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,3,51,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201042000,156.0,17.0,156,9,0.9,-9,-9.0,-9,1019.1,1028.0,-9,-9.0,0.7,-9.3,47.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,5,43,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201042100,156.0,9.0,156,7,1.1,-9,-9.0,-9,1019.7,1028.7,2,1.7,0.4,-8.5,51.0,3.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,42,Ac,0,3,0,2000,-9.0,-9.0,-9,0.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201042200,156.0,16.0,156,9,0.8,-9,-9.0,-9,1019.5,1028.5,-9,-9.0,0.3,-8.1,53.0,3.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,1,40,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201042300,156.0,21.0,156,7,1.8,-9,-9.0,-9,1019.6,1028.6,-9,-9.0,0.0,-8.2,54.0,3.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,39,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.2,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201050100,156.0,12.0,156,7,2.4,-9,-9.0,-9,1019.4,1028.4,-9,-9.0,-0.5,-10.7,46.0,2.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,8,40,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201050200,156.0,26.0,156,7,2.9,-9,-9.0,-9,1019.2,1028.2,-9,-9.0,-0.5,-11.8,42.0,2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,8,41,-,-9,-9,-9,2000,-9.0,-9.0,-9,0.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201050300,156.0,10.0,156,5,1.7,-9,-9.0,-9,1019.1,1028.1,7,-0.4,-0.6,-11.9,42.0,2.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,46,Ac,0,3,0,2000,-9.0,-9.0,-9,-0.1,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
