TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202101020000,108.0,34.0,108,32,2.5,-9,-9.0,-9,1015.0,1026.0,2,0.8,-3.4,-11.1,55.0,2.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-3.8,-0.1,-0.5,0.1,1.3,-9,-9.0,-9,3,-9
202101020300,108.0,36.0,108,27,1.9,-9,-9.0,-9,1015.8,1026.9,2,0.9,-5.8,-15.8,45.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-5.9,-0.5,-0.7,0.1,1.3,-9,-9.0,-9,3,-9
202101020600,108.0,23.0,108,32,2.7,-9,-9.0,-9,1016.2,1027.4,2,0.5,-6.6,-19.5,35.0,1.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-7.2,-1.0,-1.0,0.0,1.3,-9,-9.0,-9,3,-9
202101020900,108.0,0.0,108,27,2.0,-9,-9.0,-9,1017.9,1029.1,2,1.7,-7.6,-19.1,39.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.9,0.3,-9,-6.7,-1.4,-1.2,0.0,1.2,-9,-9.0,-9,3,-9
202101021200,108.0,19.0,108,27,3.0,-9,-9.0,-9,1018.7,1029.8,0,0.7,-3.2,-17.2,33.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.81,-9,1.2,-0.7,-1.0,-0.1,1.2,-9,-9.0,-9,3,-9
202101021500,108.0,63.0,108,29,5.2,-9,-9.0,-9,1017.9,1028.9,7,-0.9,-2.3,-16.4,33.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.57,-9,1.6,-0.2,-0.7,-0.1,1.2,-9,-9.0,-9,3,-9
202101021800,108.0,79.0,108,25,2.7,-9,-9.0,-9,1019.5,1030.6,2,1.7,-3.2,-15.2,39.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.1,0.04,-9,-2.3,-0.1,-0.6,-0.1,1.2,-9,-9.0,-9,3,-9
202101022100,108.0,68.0,108,29,2.3,-9,-9.0,-9,1020.4,1031.6,1,1.0,-5.0,-16.8,39.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-4.6,-0.5,-0.8,-0.1,1.1,-9,-9.0,-9,3,-9
202101030000,108.0,74.0,108,29,3.8,-9,-9.0,-9,1021.5,1032.7,2,1.1,-6.6,-16.5,45.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-6.4,-0.9,-1.0,-0.1,1.1,-9,-9.0,-9,3,-9
202101030300,108.0,51.0,108,25,2.2,-9,-9.0,-9,1022.8,1034.1,2,1.4,-8.0,-16.3,51.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-7.4,-1.3,-1.3,-0.2,1.1,-9,-9.0,-9,3,-9
202101030600,108.0,59.0,108,27,1.3,-9,-9.0,-9,1023.4,1034.8,3,0.7,-9.0,-16.8,53.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-8.1,-1.7,-1.5,-0.2,1.1,-9,-9.0,-9,3,-9
202101030900,108.0,30.0,108,25,1.8,-9,-9.0,-9,1024.1,1035.4,2,0.6,-7.6,-14.6,57.0,2.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.8,0.28,-9,-6.9,-1.9,-1.7,-0.3,1.1,-9,-9.0,-9,3,-9
202101031200,108.0,28.0,108,27,2.9,-9,-9.0,-9,1023.2,1034.3,7,-1.1,-3.1,-17.1,33.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,10,Sc,0,0,5,2000,1.0,1.78,-9,1.6,-0.9,-1.3,-0.3,1.0,-9,-9.0,-9,3,2
202101031500,108.0,43.0,108,29,3.7,-9,-9.0,-9,1022.2,1033.3,7,-1.0,-2.4,-16.5,33.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,0,-9,Ci,2,0,0,2000,0.2,0.76,-9,0.0,-0.2,-0.8,-0.3,1.0,-9,-9.0,-9,3,2
202101031800,108.0,40.0,108,27,2.1,-9,-9.0,-9,1022.2,1033.3,4,0.0,-3.6,-15.2,40.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,5,0,-9,Ci,1,0,0,2000,0.0,0.03,-9,-2.3,-0.1,-0.7,-0.3,1.0,-9,-9.0,-9,3,2
202101032100,108.0,41.0,108,27,0.7,-9,-9.0,-9,1023.3,1034.5,2,1.2,-5.3,-15.3,45.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,13,Sc,0,0,5,2000,-9.0,-9.0,-9,-5.4,-0.7,-1.0,-0.3,0.9,-9,-9.0,-9,3,2
202101040000,108.0,41.0,108,29,0.5,-9,-9.0,-9,1023.1,1034.3,5,-0.2,-6.2,-15.4,48.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-7.0,-1.2,-1.3,-0.3,0.9,-9,-9.0,-9,3,-9
202101040300,108.0,47.0,108,29,0.9,-9,-9.0,-9,1023.2,1034.5,0,0.2,-7.1,-14.8,54.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-7.8,-1.7,-1.6,-0.4,0.9,-9,-9.0,-9,3,-9
202101040600,108.0,48.0,108,7,2.2,-9,-9.0,-9,1022.3,1033.6,7,-0.9,-8.1,-17.4,47.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-8.0,-2.0,-1.9,-0.4,0.9,-9,-9.0,-9,3,-9
202101040900,108.0,45.0,108,5,2.5,-9,-9.0,-9,1022.6,1033.9,3,0.3,-7.6,-16.7,48.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,4,4,10,Sc,0,0,5,2000,0.3,0.2,-9,-6.1,-2.1,-2.0,-0.5,0.8,-9,-9.0,-9,3,2
202101041200,108.0,62.0,108,5,2.4,-9,-9.0,-9,1021.2,1032.2,8,-1.7,-1.5,-13.3,40.0,2.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.59,-9,2.1,-1.0,-1.5,-0.6,0.8,-9,-9.0,-9,3,-9
202101041500,108.0,59.0,108,36,1.6,-9,-9.0,-9,1019.2,1030.1,6,-2.1,0.0,-12.0,40.0,2.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,14,Sc,0,0,5,2000,0.0,0.58,-9,1.4,-0.2,-0.9,-0.5,0.8,-9,-9.0,-9,3,2
202101041800,108.0,57.0,108,5,1.0,-9,-9.0,-9,1018.1,1029.1,7,-1.0,-0.9,-9.5,52.0,3.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,7,7,11,Sc,0,0,5,2000,0.0,0.03,-9,-0.7,0.0,-0.7,-0.4,0.7,-9,-9.0,-9,3,2
202101042100,108.0,52.0,108,9,2.3,-9,-9.0,-9,1017.4,1028.3,7,-0.8,-0.5,-7.9,57.0,3.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,9,9,9,Sc,0,0,5,2000,-9.0,-9.0,-9,-0.9,0.0,-0.6,-0.4,0.8,-9,-9.0,-9,3,2
202101050000,108.0,48.0,108,5,2.4,-9,-9.0,-9,1018.1,1029.1,2,0.8,-2.1,-6.2,73.0,3.8,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,71,77,05,9,9,8,Sc,0,0,5,1438,-9.0,-9.0,-9,-1.5,0.0,-0.6,-0.4,0.8,-9,-9.0,-9,4,1
202101050300,108.0,61.0,108,25,1.0,-9,-9.0,-9,1017.9,1028.9,8,-0.2,-2.5,-6.1,76.0,3.9,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,70,77,05,9,9,12,Sc,0,0,5,1642,-9.0,-9.0,-9,-2.1,-0.1,-0.6,-0.4,0.8,-9,-9.0,-9,4,1
202101050600,108.0,44.0,108,32,3.7,-9,-9.0,-9,1018.6,1029.7,2,0.8,-4.2,-7.1,80.0,3.6,0.0,0.0,0.0,-9.0,-9.0,-9.0,0.0,70,71,05,8,8,14,Sc,0,0,5,1953,-9.0,-9.0,-9,-3.4,-0.3,-0.7,-0.4,0.8,-9,-9.0,-9,4,1
202101050900,108.0,28.0,108,32,3.3,-9,-9.0,-9,1021.4,1032.6,2,2.9,-5.8,-10.9,67.0,2.7,0.0,0.0,0.0,-9.0,-9.0,-9.0,0.0,-9,70,-,0,0,-9,-,-9,-9,-9,2000,0.8,0.28,-9,-4.6,-0.7,-0.9,-0.4,0.8,-9,-9.0,-9,3,1
202101051200,108.0,26.0,108,29,4.4,-9,-9.0,-9,1020.8,1031.9,8,-0.7,-4.6,-18.4,33.0,1.4,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,1,0,-9,Ci,1,0,0,2000,1.0,1.82,-9,2.5,-0.6,-1.0,-0.4,0.8,-9,-9.0,-9,3,2
202101051500,108.0,41.0,108,25,4.2,-9,-9.0,-9,1018.7,1029.8,7,-2.1,-3.8,-17.0,35.0,1.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,0,-9,Ci,1,0,0,2000,0.7,0.74,-9,0.7,-0.3,-0.8,-0.4,0.7,-9,-9.0,-9,3,2
202101051800,108.0,21.0,108,32,2.8,-9,-9.0,-9,1018.4,1029.6,5,-0.2,-5.7,-19.0,34.0,1.4,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.2,0.04,-9,-4.1,-0.5,-0.9,-0.4,0.7,-9,-9.0,-9,3,-9
202101052100,108.0,11.0,108,32,4.9,-9,-9.0,-9,1019.2,1030.5,1,0.9,-7.6,-18.0,43.0,1.5,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-6.7,-1.1,-1.3,-0.4,0.7,-9,-9.0,-9,3,-9
202101060000,108.0,28.0,108,27,1.8,-9,-9.0,-9,1018.8,1030.2,5,-0.3,-9.9,-17.4,54.0,1.6,-9.0,0.0,0.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-7.7,-1.7,-1.7,-0.5,0.7,-9,-9.0,-9,3,-9
202101060300,108.0,33.0,108,29,1.7,-9,-9.0,-9,1018.5,1029.9,5,-0.3,-11.1,-17.1,61.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-8.8,-2.3,-2.1,-0.6,0.7,-9,-9.0,-9,3,-9
202101060600,108.0,30.0,108,29,0.8,-9,-9.0,-9,1017.0,1028.4,6,-1.5,-11.7,-17.5,62.0,1.6,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-9.5,-2.7,-2.5,-0.7,0.7,-9,-9.0,-9,3,-9
202101060900,108.0,5.0,108,5,1.4,-9,-9.0,-9,1017.0,1028.4,4,0.0,-10.7,-16.5,62.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,0.32,-9,-8.6,-3.0,-2.7,-0.9,0.6,-9,-9.0,-9,3,-9
202101061200,108.0,33.0,108,36,2.3,-9,-9.0,-9,1014.9,1026.0,8,-2.4,-6.0,-18.3,37.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.89,-9,3.0,-1.8,-2.2,-1.0,0.6,-9,-9.0,-9,3,-9
202101061500,108.0,27.0,108,23,1.9,-9,-9.0,-9,1011.0,1021.9,7,-4.1,-2.3,-19.2,26.0,1.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.64,-9,3.1,-0.9,-1.5,-0.9,0.5,-9,-9.0,-9,3,-9
202101061800,108.0,30.0,108,20,2.7,-9,-9.0,-9,1008.7,1019.7,7,-2.2,-3.7,-19.6,28.0,1.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,10,3,15,ScAs,-9,2,5,2000,0.1,0.03,-9,-2.4,-0.8,-1.2,-0.7,0.5,-9,-9.0,-9,3,2
202101062100,108.0,42.0,108,23,2.0,20,10.0,33,1006.7,1017.7,7,-2.0,-5.1,-6.6,89.0,3.7,2.2,2.2,2.2,-9.0,3.8,3.8,3.8,70,77,05,10,8,6,ScAs,-9,2,5,124,-9.0,-9.0,-9,-1.7,-0.8,-1.2,-0.7,0.5,-9,-9.0,-9,1,1
202101070000,108.0,524.0,108,29,6.4,29,15.0,48,1008.6,1019.8,3,2.1,-8.3,-12.4,72.0,2.4,0.1,2.3,2.3,-9.0,0.2,3.5,3.5,22,72,05,9,9,4,Sc,0,0,5,1325,-9.0,-9.0,-9,-1.9,-0.7,-1.1,-0.6,0.5,-9,-9.0,-9,4,1
202101070300,108.0,154.0,108,32,5.6,29,15.0,48,1012.6,1024.0,2,4.2,-13.2,-20.3,55.0,1.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.7,-9,72,-,0,0,-9,-,-9,-9,-9,1824,-9.0,-9.0,-9,-2.6,-1.1,-1.3,-0.6,0.5,-9,-9.0,-9,3,1
202101070600,108.0,130.0,108,29,5.5,29,13.0,14,1014.3,1025.8,2,1.8,-15.6,-22.0,58.0,1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,2.2,-9,-9,-,6,6,8,Sc,0,0,5,1665,-9.0,-9.0,-9,-3.7,-1.7,-1.8,-0.7,0.5,-9,-9.0,-9,3,2
202101070900,108.0,59.0,108,27,2.8,25,14.0,49,1016.8,1028.4,2,2.6,-16.2,-22.9,56.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.9,-9,-9,-,1,1,10,Sc,0,0,5,2000,0.8,0.31,-9,-7.8,-2.1,-2.1,-0.9,0.5,-9,-9.0,-9,3,2
202101071200,108.0,42.0,108,-9,9.0,-9,-9.0,-9,1016.4,1027.9,8,-0.5,-13.8,-23.2,45.0,0.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.4,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-2.6,-2.1,-2.3,-1.0,0.4,-9,-9.0,-9,3,2
202101071500,108.0,61.0,108,29,4.8,27,10.0,4,1015.6,1027.0,5,-0.9,-12.4,-23.8,38.0,0.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.72,-9,-3.7,-1.8,-2.1,-1.0,0.4,-9,-9.0,-9,3,-9
202101071800,108.0,35.0,108,34,1.6,-9,-9.0,-9,1015.7,1027.2,0,0.2,-13.7,-23.1,45.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.2,0.06,-9,-8.9,-2.0,-2.2,-1.0,0.4,-9,-9.0,-9,3,-9
202101072100,108.0,23.0,108,27,2.9,-9,-9.0,-9,1015.7,1027.2,4,0.0,-14.9,-23.0,50.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,10.4,-2.5,-2.5,-1.2,0.4,-9,-9.0,-9,3,2
202101080000,108.0,24.0,108,32,2.5,-9,-9.0,-9,1015.3,1026.9,5,-0.3,-15.9,-23.5,52.0,0.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,11.3,-3.0,-2.9,-1.3,0.3,-9,-9.0,-9,3,-9
202101080300,108.0,24.0,108,27,3.8,-9,-9.0,-9,1015.5,1027.1,3,0.2,-17.2,-25.8,47.0,0.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9,-9,-,0,0,-9,-,-9,-9,-9,1787,-9.0,-9.0,-9,12.1,-3.3,-3.2,-1.5,0.3,-9,-9.0,-9,3,-9
202101080600,108.0,35.0,108,29,3.7,-9,-9.0,-9,1015.7,1027.4,0,0.3,-17.8,-26.4,47.0,0.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9,-9,-,0,0,-9,-,-9,-9,-9,1779,-9.0,-9.0,-9,12.7,-3.7,-3.6,-1.7,0.2,-9,-9.0,-9,3,-9
202101080900,108.0,18.0,108,29,1.9,-9,-9.0,-9,1015.7,1027.4,4,0.0,-17.9,-26.7,46.0,0.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,0.35,-9,11.7,-4.1,-3.9,-2.0,0.2,-9,-9.0,-9,3,-9
202101081200,108.0,32.0,108,29,3.2,-9,-9.0,-9,1014.3,1025.8,7,-1.6,-13.4,-25.0,37.0,0.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.1,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.92,-9,-1.2,-3.4,-3.6,-2.1,0.1,-9,-9.0,-9,3,2
202101081500,108.0,24.0,108,29,5.6,32,10.0,56,1011.6,1022.9,7,-2.9,-11.2,-23.3,36.0,0.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.72,-9,-2.9,-2.8,-3.1,-1.9,0.0,-9,-9.0,-9,3,-9
202101081800,108.0,33.0,108,29,3.0,27,10.0,18,1012.2,1023.6,2,0.7,-12.6,-23.1,41.0,1.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.2,0.06,-9,-9.0,-2.8,-3.0,-1.7,0.0,-9,-9.0,-9,3,-9
202101082100,108.0,29.0,108,27,3.2,27,10.0,18,1013.6,1025.1,2,1.5,-14.1,-22.0,51.0,1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,10.7,-3.3,-3.3,-1.9,0.0,-9,-9.0,-9,3,-9
202101090000,108.0,19.0,108,34,3.1,-9,-9.0,-9,1014.1,1025.6,0,0.5,-15.4,-24.1,47.0,0.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,11.8,-3.9,-3.8,-2.1,0.1,-9,-9.0,-9,3,-9
202101090300,108.0,45.0,108,32,2.6,-9,-9.0,-9,1013.9,1025.4,5,-0.2,-14.8,-24.8,42.0,0.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,12.1,-4.2,-4.1,-2.3,0.1,-9,-9.0,-9,3,-9
202101090600,108.0,34.0,108,34,1.1,-9,-9.0,-9,1013.5,1025.1,5,-0.3,-16.4,-24.4,50.0,0.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1995,-9.0,-9.0,-9,12.6,-4.5,-4.3,-2.5,0.2,-9,-9.0,-9,3,2
202101090900,108.0,18.0,108,23,0.6,-9,-9.0,-9,1013.9,1025.4,3,0.3,-15.2,-23.3,50.0,0.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,1.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.9,0.32,-9,11.0,-4.7,-4.6,-2.7,0.3,-9,-9.0,-9,3,2
202101091200,108.0,38.0,108,29,3.8,-9,-9.0,-9,1013.7,1025.0,8,-0.4,-10.1,-22.0,37.0,1.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.8,-9,-9,-,6,2,13,ScCi,1,0,5,2000,1.0,1.82,-9,0.4,-3.6,-3.9,-2.7,0.4,-9,-9.0,-9,3,2
202101091500,108.0,44.0,108,27,3.4,29,10.0,22,1012.3,1023.5,6,-1.5,-8.2,-20.0,38.0,1.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.7,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.65,-9,-1.0,-2.8,-3.2,-2.3,0.4,-9,-9.0,-9,3,-9
202101091800,108.0,38.0,108,27,3.1,27,11.0,44,1013.2,1024.5,3,1.0,-9.7,-19.9,43.0,1.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.7,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.2,0.06,-9,-7.9,-2.7,-3.0,-2.0,0.4,-9,-9.0,-9,3,2
202101092100,108.0,30.0,108,27,2.9,27,11.0,44,1015.2,1026.5,2,2.0,-10.9,-18.6,53.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.7,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-9.6,-3.2,-3.3,-2.1,0.4,-9,-9.0,-9,3,-9
202101100000,108.0,38.0,108,36,1.7,-9,-9.0,-9,1016.0,1027.4,2,0.9,-12.2,-18.9,57.0,1.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.7,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,10.8,-3.7,-3.7,-2.3,0.4,-9,-9.0,-9,3,-9
202101100300,108.0,37.0,108,36,1.5,-9,-9.0,-9,1016.5,1027.9,3,0.5,-12.2,-19.4,55.0,1.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.7,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,11.1,-4.1,-4.0,-2.6,0.5,-9,-9.0,-9,3,-9
202101100600,108.0,46.0,108,29,1.0,-9,-9.0,-9,1016.4,1027.8,6,-0.1,-12.6,-17.8,65.0,1.5,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.7,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,11.6,-4.4,-4.3,-2.8,0.6,-9,-9.0,-9,3,-9
202101100900,108.0,32.0,108,5,2.4,-9,-9.0,-9,1017.9,1029.3,2,1.5,-12.2,-16.7,69.0,1.7,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.7,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,0.9,0.32,-9,10.0,-4.6,-4.5,-3.0,0.7,-9,-9.0,-9,3,-9
202101101200,108.0,52.0,108,7,1.3,-9,-9.0,-9,1016.9,1028.1,7,-1.2,-6.0,-15.7,46.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.6,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,1.0,1.82,-9,2.8,-3.3,-3.8,-2.9,0.8,-9,-9.0,-9,3,2
202101101500,108.0,65.0,108,11,1.3,-9,-9.0,-9,1015.3,1026.3,6,-1.8,-3.2,-15.5,38.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.5,-9,-9,-,9,4,15,ScCi,1,0,5,2000,0.2,1.0,-9,1.6,-1.9,-2.7,-2.4,0.8,-9,-9.0,-9,3,2
202101101800,108.0,41.0,108,2,0.5,-9,-9.0,-9,1016.4,1027.5,2,1.2,-4.2,-14.3,45.0,2.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.4,-9,-9,-,8,8,15,Sc,0,0,5,2000,0.0,0.04,-9,-3.1,-1.5,-2.1,-1.9,0.6,-9,-9.0,-9,3,2
202101102100,108.0,45.0,108,25,1.2,-9,-9.0,-9,1017.8,1028.9,2,1.4,-4.8,-12.9,53.0,2.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.4,-9,-9,-,7,7,14,Sc,0,0,5,2000,-9.0,-9.0,-9,-5.1,-1.6,-2.1,-1.6,0.5,-9,-9.0,-9,3,2
202101110000,108.0,44.0,108,32,2.5,-9,-9.0,-9,1018.9,1030.1,2,1.2,-6.6,-12.2,64.0,2.4,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.4,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-7.8,-2.2,-2.4,-1.7,0.5,-9,-9.0,-9,3,-9
202101110300,108.0,59.0,108,7,1.2,-9,-9.0,-9,1018.9,1030.2,0,0.1,-8.5,-13.5,67.0,2.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.4,-9,-9,-,0,0,-9,-,-9,-9,-9,1827,-9.0,-9.0,-9,-9.0,-2.7,-2.8,-1.9,0.5,-9,-9.0,-9,3,2
202101110600,108.0,58.0,108,36,1.5,-9,-9.0,-9,1018.2,1029.5,5,-0.7,-9.5,-13.7,71.0,2.1,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.4,-9,-9,-,6,0,-9,Ci,1,0,0,1861,-9.0,-9.0,-9,-9.4,-3.2,-3.3,-2.1,0.6,-9,-9.0,-9,3,2
202101110900,108.0,61.0,108,5,3.0,-9,-9.0,-9,1017.6,1028.9,8,-0.6,-8.4,-12.7,71.0,2.3,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.4,-9,-9,-,10,0,-9,Ci,2,0,0,1881,0.0,0.13,-9,-6.5,-3.3,-3.4,-2.4,0.7,-9,-9.0,-9,3,2
